date,ULTOSC
2002-02-21 00:00:00,33.4086
2002-02-22 00:00:00,40.6386
2002-02-25 00:00:00,43.1666
2002-02-26 00:00:00,43.4258
2002-02-27 00:00:00,43.3888
2002-02-28 00:00:00,44.489
2002-03-01 00:00:00,48.5838
2002-03-04 00:00:00,55.1384
2002-03-05 00:00:00,50.3414
2002-03-06 00:00:00,51.9672
2002-03-07 00:00:00,54.9619
2002-03-08 00:00:00,60.6289
2002-03-11 00:00:00,67.0767
2002-03-12 00:00:00,63.0472
2002-03-13 00:00:00,60.656
2002-03-14 00:00:00,65.8375
2002-03-15 00:00:00,66.8137
2002-03-18 00:00:00,65.1384
2002-03-19 00:00:00,67.6011
2002-03-20 00:00:00,66.0857
2002-03-21 00:00:00,64.1857
2002-03-22 00:00:00,61.6194
2002-03-25 00:00:00,56.956
2002-03-26 00:00:00,54.682
2002-03-27 00:00:00,53.4052
2002-03-28 00:00:00,53.302
2002-04-01 00:00:00,57.2342
2002-04-02 00:00:00,54.0923
2002-04-03 00:00:00,51.7226
2002-04-04 00:00:00,61.0093
2002-04-05 00:00:00,59.3964
2002-04-08 00:00:00,62.371
2002-04-09 00:00:00,57.76
2002-04-10 00:00:00,56.0727
2002-04-11 00:00:00,55.4253
2002-04-12 00:00:00,60.4194
2002-04-15 00:00:00,57.6346
2002-04-16 00:00:00,59.3039
2002-04-17 00:00:00,60.6409
2002-04-18 00:00:00,63.2788
2002-04-19 00:00:00,57.4736
2002-04-22 00:00:00,57.141
2002-04-23 00:00:00,53.2656
2002-04-24 00:00:00,47.4823
2002-04-25 00:00:00,46.8074
2002-04-26 00:00:00,34.9859
2002-04-29 00:00:00,41.7348
2002-04-30 00:00:00,46.0273
2002-05-01 00:00:00,48.7969
2002-05-02 00:00:00,46.7069
2002-05-03 00:00:00,47.0877
2002-05-06 00:00:00,40.9281
2002-05-07 00:00:00,45.2106
2002-05-08 00:00:00,52.0227
2002-05-09 00:00:00,51.7519
2002-05-10 00:00:00,47.2529
2002-05-13 00:00:00,54.3959
2002-05-14 00:00:00,62.891
2002-05-15 00:00:00,63.3697
2002-05-16 00:00:00,66.2662
2002-05-17 00:00:00,58.7699
2002-05-20 00:00:00,57.2876
2002-05-21 00:00:00,51.9109
2002-05-22 00:00:00,53.8442
2002-05-23 00:00:00,53.3833
2002-05-24 00:00:00,50.6214
2002-05-28 00:00:00,51.4073
2002-05-29 00:00:00,51.7699
2002-05-30 00:00:00,54.3821
2002-05-31 00:00:00,56.3674
2002-06-03 00:00:00,50.6986
2002-06-04 00:00:00,46.5787
2002-06-05 00:00:00,51.7021
2002-06-06 00:00:00,44.684
2002-06-07 00:00:00,43.0696
2002-06-10 00:00:00,39.0128
2002-06-11 00:00:00,38.2344
2002-06-12 00:00:00,35.2237
2002-06-13 00:00:00,29.9228
2002-06-14 00:00:00,42.2428
2002-06-17 00:00:00,48.1984
2002-06-18 00:00:00,47.3128
2002-06-19 00:00:00,36.6485
2002-06-20 00:00:00,39.8065
2002-06-21 00:00:00,38.786
2002-06-24 00:00:00,39.9672
2002-06-25 00:00:00,31.6925
2002-06-26 00:00:00,30.5304
2002-06-27 00:00:00,33.9474
2002-06-28 00:00:00,46.0003
2002-07-01 00:00:00,43.809
2002-07-02 00:00:00,45.883
2002-07-03 00:00:00,49.4972
2002-07-05 00:00:00,55.8379
2002-07-08 00:00:00,53.9598
2002-07-09 00:00:00,48.0846
2002-07-10 00:00:00,42.9289
2002-07-11 00:00:00,54.5596
2002-07-12 00:00:00,49.6818
2002-07-15 00:00:00,51.973
2002-07-16 00:00:00,46.1516
2002-07-17 00:00:00,41.1392
2002-07-18 00:00:00,41.2199
2002-07-19 00:00:00,43.6767
2002-07-22 00:00:00,40.4666
2002-07-23 00:00:00,40.6881
2002-07-24 00:00:00,40.0059
2002-07-25 00:00:00,38.1104
2002-07-26 00:00:00,46.72
2002-07-29 00:00:00,53.2359
2002-07-30 00:00:00,57.9915
2002-07-31 00:00:00,57.8765
2002-08-01 00:00:00,58.7487
2002-08-02 00:00:00,50.8977
2002-08-05 00:00:00,49.6322
2002-08-06 00:00:00,51.451
2002-08-07 00:00:00,51.098
2002-08-08 00:00:00,49.596
2002-08-09 00:00:00,48.4628
2002-08-12 00:00:00,54.0583
2002-08-13 00:00:00,50.535
2002-08-14 00:00:00,57.9093
2002-08-15 00:00:00,60.1713
2002-08-16 00:00:00,59.5683
2002-08-19 00:00:00,55.8923
2002-08-20 00:00:00,57.1967
2002-08-21 00:00:00,60.2227
2002-08-22 00:00:00,64.2178
2002-08-23 00:00:00,63.6545
2002-08-26 00:00:00,60.7238
2002-08-27 00:00:00,52.7533
2002-08-28 00:00:00,49.1451
2002-08-29 00:00:00,46.5106
2002-08-30 00:00:00,40.8222
2002-09-03 00:00:00,35.806
2002-09-04 00:00:00,36.6691
2002-09-05 00:00:00,33.6805
2002-09-06 00:00:00,35.7313
2002-09-09 00:00:00,38.4467
2002-09-10 00:00:00,39.4108
2002-09-11 00:00:00,38.337
2002-09-12 00:00:00,39.9474
2002-09-13 00:00:00,37.2992
2002-09-16 00:00:00,42.2682
2002-09-17 00:00:00,44.9237
2002-09-18 00:00:00,50.1012
2002-09-19 00:00:00,46.2153
2002-09-20 00:00:00,51.2001
2002-09-23 00:00:00,59.0587
2002-09-24 00:00:00,58.9642
2002-09-25 00:00:00,57.3878
2002-09-26 00:00:00,53.0985
2002-09-27 00:00:00,50.7964
2002-09-30 00:00:00,54.8704
2002-10-01 00:00:00,56.8648
2002-10-02 00:00:00,51.2583
2002-10-03 00:00:00,50.4426
2002-10-04 00:00:00,46.0274
2002-10-07 00:00:00,44.2147
2002-10-08 00:00:00,43.5998
