date,SMA
2001-08-14 00:00:00,19.2325
2001-08-15 00:00:00,19.115
2001-08-16 00:00:00,19.0495
2001-08-17 00:00:00,18.954
2001-08-20 00:00:00,18.883
2001-08-21 00:00:00,18.8245
2001-08-22 00:00:00,18.8115
2001-08-23 00:00:00,18.7725
2001-08-24 00:00:00,18.753
2001-08-27 00:00:00,18.7525
2001-08-28 00:00:00,18.733
2001-08-29 00:00:00,18.6715
2001-08-30 00:00:00,18.572
2001-08-31 00:00:00,18.5245
2001-09-04 00:00:00,18.4805
2001-09-05 00:00:00,18.4455
2001-09-06 00:00:00,18.3865
2001-09-07 00:00:00,18.298
2001-09-10 00:00:00,18.2155
2001-09-17 00:00:00,18.1105
2001-09-18 00:00:00,17.988
2001-09-19 00:00:00,17.917
2001-09-20 00:00:00,17.7685
2001-09-21 00:00:00,17.6515
2001-09-24 00:00:00,17.568
2001-09-25 00:00:00,17.449
2001-09-26 00:00:00,17.296
2001-09-27 00:00:00,17.181
2001-09-28 00:00:00,17.028
2001-10-01 00:00:00,16.859
2001-10-02 00:00:00,16.6915
2001-10-03 00:00:00,16.549
2001-10-04 00:00:00,16.4515
2001-10-05 00:00:00,16.331
2001-10-08 00:00:00,16.2285
2001-10-09 00:00:00,16.101
2001-10-10 00:00:00,16.056
2001-10-11 00:00:00,16.079
2001-10-12 00:00:00,16.111
2001-10-15 00:00:00,16.161
2001-10-16 00:00:00,16.2475
2001-10-17 00:00:00,16.246
2001-10-18 00:00:00,16.362
2001-10-19 00:00:00,16.4905
2001-10-22 00:00:00,16.619
2001-10-23 00:00:00,16.749
2001-10-24 00:00:00,16.939
2001-10-25 00:00:00,17.123
2001-10-26 00:00:00,17.281
2001-10-29 00:00:00,17.3855
2001-10-30 00:00:00,17.513
2001-10-31 00:00:00,17.642
2001-11-01 00:00:00,17.7775
2001-11-02 00:00:00,17.899
2001-11-05 00:00:00,18.0425
2001-11-06 00:00:00,18.221
2001-11-07 00:00:00,18.3595
2001-11-08 00:00:00,18.408
2001-11-09 00:00:00,18.443
2001-11-12 00:00:00,18.481
2001-11-13 00:00:00,18.549
2001-11-14 00:00:00,18.68
2001-11-15 00:00:00,18.7525
2001-11-16 00:00:00,18.786
2001-11-19 00:00:00,18.835
2001-11-20 00:00:00,18.9045
2001-11-21 00:00:00,18.941
2001-11-23 00:00:00,18.9735
2001-11-26 00:00:00,19.1085
2001-11-27 00:00:00,19.277
2001-11-28 00:00:00,19.4235
2001-11-29 00:00:00,19.5665
2001-11-30 00:00:00,19.702
2001-12-03 00:00:00,19.826
2001-12-04 00:00:00,19.9925
2001-12-05 00:00:00,20.202
2001-12-06 00:00:00,20.3615
2001-12-07 00:00:00,20.553
2001-12-10 00:00:00,20.7445
2001-12-11 00:00:00,20.896
2001-12-12 00:00:00,21.002
2001-12-13 00:00:00,21.0715
2001-12-14 00:00:00,21.1185
2001-12-17 00:00:00,21.201
2001-12-18 00:00:00,21.2515
2001-12-19 00:00:00,21.356
2001-12-20 00:00:00,21.4055
2001-12-21 00:00:00,21.4635
2001-12-24 00:00:00,21.463
2001-12-26 00:00:00,21.4875
2001-12-27 00:00:00,21.5645
2001-12-28 00:00:00,21.665
2001-12-31 00:00:00,21.695
2002-01-02 00:00:00,21.8075
2002-01-03 00:00:00,21.8665
2002-01-04 00:00:00,21.863
2002-01-07 00:00:00,21.869
2002-01-08 00:00:00,21.8725
2002-01-09 00:00:00,21.828
