date,SlowK,SlowD
2018-04-02 00:00:00,21.1973,28.244
2018-03-29 00:00:00,25.3999,32.2139
2018-03-28 00:00:00,38.1347,31.3469
2018-03-27 00:00:00,33.107,18.9117
2018-03-26 00:00:00,22.7989,10.7116
2018-03-23 00:00:00,0.8293,7.5353
2018-03-22 00:00:00,8.5066,12.4257
2018-03-21 00:00:00,13.27,14.4892
2018-03-20 00:00:00,15.5005,17.5549
2018-03-19 00:00:00,14.6971,25.9828
2018-03-16 00:00:00,22.467,42.5816
2018-03-15 00:00:00,40.7845,63.2209
2018-03-14 00:00:00,64.4934,79.4943
2018-03-13 00:00:00,84.385,81.5839
2018-03-12 00:00:00,89.6045,71.7133
2018-03-09 00:00:00,70.7622,57.4481
2018-03-08 00:00:00,54.7732,50.6669
2018-03-07 00:00:00,46.809,46.741
2018-03-06 00:00:00,50.4185,47.5211
2018-03-05 00:00:00,42.9956,50.6403
2018-03-02 00:00:00,49.1492,63.5195
2018-03-01 00:00:00,59.7759,77.1015
2018-02-28 00:00:00,81.6335,85.1643
2018-02-27 00:00:00,89.8952,83.0084
2018-02-26 00:00:00,83.9643,75.9522
2018-02-23 00:00:00,75.1659,73.7679
2018-02-22 00:00:00,68.7264,77.9575
2018-02-21 00:00:00,77.4116,86.6902
2018-02-20 00:00:00,87.7347,93.7479
2018-02-16 00:00:00,94.9242,96.4526
2018-02-15 00:00:00,98.5847,90.785
2018-02-14 00:00:00,95.849,74.0984
2018-02-13 00:00:00,77.9214,52.3834
2018-02-12 00:00:00,48.5248,38.481
2018-02-09 00:00:00,30.7041,33.8106
2018-02-08 00:00:00,36.2141,31.3119
2018-02-07 00:00:00,34.5136,24.8017
2018-02-06 00:00:00,23.2079,21.3863
2018-02-05 00:00:00,16.6835,23.2994
2018-02-02 00:00:00,24.2674,23.4987
2018-02-01 00:00:00,28.9473,19.9284
2018-01-31 00:00:00,17.2816,13.5085
2018-01-30 00:00:00,13.5564,11.8201
2018-01-29 00:00:00,9.6874,14.0076
2018-01-26 00:00:00,12.2166,21.036
2018-01-25 00:00:00,20.1188,33.0671
2018-01-24 00:00:00,30.7725,47.56
2018-01-23 00:00:00,48.3101,64.8452
2018-01-22 00:00:00,63.5974,74.3429
2018-01-19 00:00:00,82.628,79.7205
2018-01-18 00:00:00,76.8034,77.854
2018-01-17 00:00:00,79.7303,79.3385
2018-01-16 00:00:00,77.0285,76.6388
2018-01-12 00:00:00,81.2566,74.0399
2018-01-11 00:00:00,71.6314,73.518
2018-01-10 00:00:00,69.2317,76.9324
2018-01-09 00:00:00,79.6909,78.515
2018-01-08 00:00:00,81.8745,77.1354
2018-01-05 00:00:00,73.9796,67.1034
2018-01-04 00:00:00,75.5521,55.8831
2018-01-03 00:00:00,51.7784,34.7858
2018-01-02 00:00:00,40.3189,23.1563
2017-12-29 00:00:00,12.26,17.8426
2017-12-28 00:00:00,16.8901,26.2454
2017-12-27 00:00:00,24.3776,36.9491
2017-12-26 00:00:00,37.4686,45.9919
2017-12-22 00:00:00,49.001,54.2945
2017-12-21 00:00:00,51.5061,64.0457
2017-12-20 00:00:00,62.3765,75.1994
2017-12-19 00:00:00,78.2545,81.269
2017-12-18 00:00:00,84.9673,80.4027
2017-12-15 00:00:00,80.5854,80.0064
2017-12-14 00:00:00,75.6556,78.1792
2017-12-13 00:00:00,83.7782,74.0993
2017-12-12 00:00:00,75.1039,61.1805
2017-12-11 00:00:00,63.4158,50.6881
2017-12-08 00:00:00,45.0216,42.7376
2017-12-07 00:00:00,43.6267,41.7762
2017-12-06 00:00:00,39.5643,42.7443
2017-12-05 00:00:00,42.1377,44.3527
2017-12-04 00:00:00,46.5308,45.0368
2017-12-01 00:00:00,44.3896,46.4818
2017-11-30 00:00:00,44.1899,55.6693
2017-11-29 00:00:00,50.8658,70.5621
2017-11-28 00:00:00,71.9523,84.6975
2017-11-27 00:00:00,88.8683,85.1702
2017-11-24 00:00:00,93.2719,72.1883
2017-11-22 00:00:00,73.3703,52.1144
2017-11-21 00:00:00,49.9226,36.1968
2017-11-20 00:00:00,33.0504,25.2328
2017-11-17 00:00:00,25.6173,18.5504
2017-11-16 00:00:00,17.0308,20.5893
2017-11-15 00:00:00,13.0032,35.4688
2017-11-14 00:00:00,31.7339,59.8272
2017-11-13 00:00:00,61.6695,81.3109
2017-11-10 00:00:00,86.0781,92.7506
2017-11-09 00:00:00,96.1852,94.1987
2017-11-08 00:00:00,95.9886,90.9592
2017-11-07 00:00:00,90.4225,86.0568
2017-11-06 00:00:00,86.4665,84.3939
2017-11-03 00:00:00,81.2814,84.6868
2017-11-02 00:00:00,85.4337,88.5495
2017-11-01 00:00:00,87.3452,89.6784
2017-10-31 00:00:00,92.8697,85.8881
2017-10-30 00:00:00,88.8202,73.9405
2017-10-27 00:00:00,75.9744,56.2371
2017-10-26 00:00:00,57.0271,39.4944
2017-10-25 00:00:00,35.7097,26.8292
2017-10-24 00:00:00,25.7464,27.7971
2017-10-23 00:00:00,19.0313,39.9965
2017-10-20 00:00:00,38.6137,63.4498
2017-10-19 00:00:00,62.3445,78.9054
2017-10-18 00:00:00,89.3914,80.8555
2017-10-17 00:00:00,84.9805,69.9833
2017-10-16 00:00:00,68.1946,60.2393
2017-10-13 00:00:00,56.7747,60.2346
2017-10-12 00:00:00,55.7485,67.4186
2017-10-11 00:00:00,68.1806,78.995
2017-10-10 00:00:00,78.3267,82.9539
2017-10-09 00:00:00,90.4776,82.0341
2017-10-06 00:00:00,80.0574,73.8913
2017-10-05 00:00:00,75.5673,73.8141
2017-10-04 00:00:00,66.0492,74.551
2017-10-03 00:00:00,79.8259,79.1676
2017-10-02 00:00:00,77.778,74.1376
2017-09-29 00:00:00,79.899,63.0107
2017-09-28 00:00:00,64.7357,44.1797
2017-09-27 00:00:00,44.3975,26.4085
2017-09-26 00:00:00,23.4058,17.447
2017-09-25 00:00:00,11.4223,16.9735
2017-09-22 00:00:00,17.5129,21.0252
2017-09-21 00:00:00,21.9853,23.1788
2017-09-20 00:00:00,23.5773,21.5437
2017-09-19 00:00:00,23.9738,21.1777
2017-09-18 00:00:00,17.0799,21.8293
2017-09-15 00:00:00,22.4793,29.8686
2017-09-14 00:00:00,25.9286,33.0858
2017-09-13 00:00:00,41.1977,32.5689
2017-09-12 00:00:00,32.131,24.6873
2017-09-11 00:00:00,24.3779,24.3329
2017-09-08 00:00:00,17.5529,33.5168
2017-09-07 00:00:00,31.068,51.4921
2017-09-06 00:00:00,51.9296,70.2715
2017-09-05 00:00:00,71.4787,83.5602
2017-09-01 00:00:00,87.4061,89.9536
2017-08-31 00:00:00,91.7959,90.4246
2017-08-30 00:00:00,90.6586,87.0417
2017-08-29 00:00:00,88.8191,84.0691
2017-08-28 00:00:00,81.6473,79.3473
2017-08-25 00:00:00,81.7409,71.9592
2017-08-24 00:00:00,74.6537,56.3741
2017-08-23 00:00:00,59.483,39.2277
2017-08-22 00:00:00,34.9855,32.8967
2017-08-21 00:00:00,23.2146,43.4718
2017-08-18 00:00:00,40.4899,62.9378
2017-08-17 00:00:00,66.711,72.1321
2017-08-16 00:00:00,81.6126,63.4136
2017-08-15 00:00:00,68.0727,51.5272
2017-08-14 00:00:00,40.5556,48.0117
2017-08-11 00:00:00,45.9533,62.7939
2017-08-10 00:00:00,57.5263,73.8203
2017-08-09 00:00:00,84.9021,79.8474
2017-08-08 00:00:00,79.0325,75.3409
2017-08-07 00:00:00,75.6075,69.4601
2017-08-04 00:00:00,71.3827,59.9817
2017-08-03 00:00:00,61.3899,46.7837
2017-08-02 00:00:00,47.1725,37.7637
2017-08-01 00:00:00,31.7887,41.1848
2017-07-31 00:00:00,34.3298,54.7269
2017-07-28 00:00:00,57.4358,72.0871
2017-07-27 00:00:00,72.415,77.627
2017-07-26 00:00:00,86.4106,77.1107
2017-07-25 00:00:00,74.0555,72.2175
2017-07-24 00:00:00,70.866,75.0965
2017-07-21 00:00:00,71.7309,80.2826
2017-07-20 00:00:00,82.6927,85.3828
2017-07-19 00:00:00,86.424,86.8966
