date,HT_DCPHASE
2001-08-13 00:00:00,92.7663
2001-08-14 00:00:00,116.237
2001-08-15 00:00:00,115.9898
2001-08-16 00:00:00,237.976
2001-08-17 00:00:00,277.2769
2001-08-20 00:00:00,293.6856
2001-08-21 00:00:00,307.729
2001-08-22 00:00:00,-38.0205
2001-08-23 00:00:00,-25.6116
2001-08-24 00:00:00,-12.3794
2001-08-27 00:00:00,3.2975
2001-08-28 00:00:00,18.0624
2001-08-29 00:00:00,22.9543
2001-08-30 00:00:00,29.1951
2001-08-31 00:00:00,34.8492
2001-09-04 00:00:00,40.9201
2001-09-05 00:00:00,48.7184
2001-09-06 00:00:00,50.2495
2001-09-07 00:00:00,51.4264
2001-09-10 00:00:00,42.9448
2001-09-17 00:00:00,-20.373
2001-09-18 00:00:00,314.4854
2001-09-19 00:00:00,313.5678
2001-09-20 00:00:00,-40.45
2001-09-21 00:00:00,-36.7459
2001-09-24 00:00:00,-32.3541
2001-09-25 00:00:00,-28.3699
2001-09-26 00:00:00,-22.5364
2001-09-27 00:00:00,-16.287
2001-09-28 00:00:00,-9.9923
2001-10-01 00:00:00,-2.8845
2001-10-02 00:00:00,-0.4961
2001-10-03 00:00:00,1.2584
2001-10-04 00:00:00,4.1422
2001-10-05 00:00:00,10.8986
2001-10-08 00:00:00,15.1214
2001-10-09 00:00:00,19.134
2001-10-10 00:00:00,23.7487
2001-10-11 00:00:00,29.7419
2001-10-12 00:00:00,39.5906
2001-10-15 00:00:00,46.5407
2001-10-16 00:00:00,49.512
2001-10-17 00:00:00,55.3104
2001-10-18 00:00:00,65.1907
2001-10-19 00:00:00,75.515
2001-10-22 00:00:00,86.341
2001-10-23 00:00:00,97.43
2001-10-24 00:00:00,114.2754
2001-10-25 00:00:00,131.4297
2001-10-26 00:00:00,135.5257
2001-10-29 00:00:00,145.7145
2001-10-30 00:00:00,156.223
2001-10-31 00:00:00,171.4169
2001-11-01 00:00:00,180.6959
2001-11-02 00:00:00,192.0274
2001-11-05 00:00:00,202.4032
2001-11-06 00:00:00,202.8201
2001-11-07 00:00:00,202.228
2001-11-08 00:00:00,202.4334
2001-11-09 00:00:00,209.0086
2001-11-12 00:00:00,212.7072
2001-11-13 00:00:00,217.0636
2001-11-14 00:00:00,213.2417
2001-11-15 00:00:00,199.7649
2001-11-16 00:00:00,177.1947
2001-11-19 00:00:00,174.2296
2001-11-20 00:00:00,167.2225
2001-11-21 00:00:00,171.9917
2001-11-23 00:00:00,177.8206
2001-11-26 00:00:00,188.2738
2001-11-27 00:00:00,191.2289
2001-11-28 00:00:00,181.4291
2001-11-29 00:00:00,164.9881
2001-11-30 00:00:00,164.3123
2001-12-03 00:00:00,167.9577
2001-12-04 00:00:00,171.5493
2001-12-05 00:00:00,172.1229
2001-12-06 00:00:00,171.9454
2001-12-07 00:00:00,171.6157
2001-12-10 00:00:00,172.8615
2001-12-11 00:00:00,175.9765
2001-12-12 00:00:00,180.969
2001-12-13 00:00:00,190.14
2001-12-14 00:00:00,197.7436
2001-12-17 00:00:00,205.156
2001-12-18 00:00:00,214.8972
2001-12-19 00:00:00,224.8704
2001-12-20 00:00:00,235.9175
2001-12-21 00:00:00,247.4235
2001-12-24 00:00:00,268.0479
2001-12-26 00:00:00,295.2206
2001-12-27 00:00:00,-31.3525
2001-12-28 00:00:00,-5.2626
2001-12-31 00:00:00,37.6573
2002-01-02 00:00:00,74.9464
2002-01-03 00:00:00,95.1041
2002-01-04 00:00:00,114.1995
2002-01-07 00:00:00,142.5603
2002-01-08 00:00:00,159.4378
2002-01-09 00:00:00,176.883
2002-01-10 00:00:00,194.9781
2002-01-11 00:00:00,212.5858
2002-01-14 00:00:00,230.3872
2002-01-15 00:00:00,248.2317
2002-01-16 00:00:00,268.0765
2002-01-17 00:00:00,287.7953
2002-01-18 00:00:00,309.6566
2002-01-22 00:00:00,-26.3003
2002-01-23 00:00:00,2.359
2002-01-24 00:00:00,31.5397
2002-01-25 00:00:00,69.6857
2002-01-28 00:00:00,92.7374
2002-01-29 00:00:00,114.2758
2002-01-30 00:00:00,148.7772
2002-01-31 00:00:00,166.0095
2002-02-01 00:00:00,177.8111
2002-02-04 00:00:00,183.4036
2002-02-05 00:00:00,185.4234
2002-02-06 00:00:00,187.3483
2002-02-07 00:00:00,190.6072
2002-02-08 00:00:00,195.2277
2002-02-11 00:00:00,198.7026
2002-02-12 00:00:00,201.7395
2002-02-13 00:00:00,204.2989
2002-02-14 00:00:00,206.8275
2002-02-15 00:00:00,209.9555
2002-02-19 00:00:00,212.3073
2002-02-20 00:00:00,218.0567
2002-02-21 00:00:00,229.1644
2002-02-22 00:00:00,245.1303
2002-02-25 00:00:00,251.956
2002-02-26 00:00:00,264.1905
2002-02-27 00:00:00,285.6744
2002-02-28 00:00:00,299.8346
2002-03-01 00:00:00,314.1329
2002-03-04 00:00:00,-22.3801
2002-03-05 00:00:00,-5.6403
2002-03-06 00:00:00,10.7147
2002-03-07 00:00:00,25.9551
2002-03-08 00:00:00,41.4426
2002-03-11 00:00:00,61.2606
2002-03-12 00:00:00,76.5739
2002-03-13 00:00:00,91.9178
2002-03-14 00:00:00,107.5025
2002-03-15 00:00:00,123.1607
2002-03-18 00:00:00,149.2233
2002-03-19 00:00:00,165.8856
2002-03-20 00:00:00,187.7662
2002-03-21 00:00:00,198.5525
2002-03-22 00:00:00,206.3515
2002-03-25 00:00:00,216.3285
2002-03-26 00:00:00,230.4355
2002-03-27 00:00:00,246.8612
2002-03-28 00:00:00,262.4772
2002-04-01 00:00:00,269.1129
2002-04-02 00:00:00,274.6173
2002-04-03 00:00:00,279.5962
2002-04-04 00:00:00,284.5149
2002-04-05 00:00:00,-39.8611
2002-04-08 00:00:00,-13.2246
2002-04-09 00:00:00,24.1162
2002-04-10 00:00:00,43.5641
2002-04-11 00:00:00,68.3014
2002-04-12 00:00:00,85.4908
2002-04-15 00:00:00,111.0333
2002-04-16 00:00:00,136.3172
2002-04-17 00:00:00,160.5454
2002-04-18 00:00:00,171.5786
2002-04-19 00:00:00,182.1883
2002-04-22 00:00:00,191.9881
2002-04-23 00:00:00,202.6291
2002-04-24 00:00:00,215.7692
2002-04-25 00:00:00,230.6066
2002-04-26 00:00:00,251.3579
2002-04-29 00:00:00,271.0886
2002-04-30 00:00:00,282.5823
2002-05-01 00:00:00,300.3734
2002-05-02 00:00:00,-43.1322
2002-05-03 00:00:00,-21.9858
2002-05-06 00:00:00,-9.8072
2002-05-07 00:00:00,7.7111
2002-05-08 00:00:00,18.3308
2002-05-09 00:00:00,30.3485
2002-05-10 00:00:00,39.8035
2002-05-13 00:00:00,47.3012
2002-05-14 00:00:00,57.0762
2002-05-15 00:00:00,72.3809
2002-05-16 00:00:00,90.1846
2002-05-17 00:00:00,101.0042
2002-05-20 00:00:00,110.7395
2002-05-21 00:00:00,129.7276
2002-05-22 00:00:00,155.8966
2002-05-23 00:00:00,171.1445
2002-05-24 00:00:00,188.9475
2002-05-28 00:00:00,205.5096
2002-05-29 00:00:00,234.0506
2002-05-30 00:00:00,252.635
2002-05-31 00:00:00,271.369
2002-06-03 00:00:00,291.755
2002-06-04 00:00:00,-37.5281
2002-06-05 00:00:00,-22.287
2002-06-06 00:00:00,-11.0898
2002-06-07 00:00:00,-8.1505
2002-06-10 00:00:00,-8.2667
2002-06-11 00:00:00,-9.4069
2002-06-12 00:00:00,-11.4493
2002-06-13 00:00:00,-11.7124
2002-06-14 00:00:00,-11.6508
2002-06-17 00:00:00,-11.175
2002-06-18 00:00:00,-11.5825
2002-06-19 00:00:00,-15.1551
2002-06-20 00:00:00,-22.2563
2002-06-21 00:00:00,-25.6281
2002-06-24 00:00:00,-25.0352
2002-06-25 00:00:00,-20.817
2002-06-26 00:00:00,-16.7978
2002-06-27 00:00:00,-10.0924
2002-06-28 00:00:00,-4.0558
2002-07-01 00:00:00,0.4825
2002-07-02 00:00:00,6.5846
2002-07-03 00:00:00,12.0579
2002-07-05 00:00:00,17.1323
2002-07-08 00:00:00,23.8715
2002-07-09 00:00:00,31.2748
2002-07-10 00:00:00,37.1699
2002-07-11 00:00:00,46.1906
2002-07-12 00:00:00,53.4145
2002-07-15 00:00:00,61.5479
2002-07-16 00:00:00,71.0463
2002-07-17 00:00:00,80.5836
2002-07-18 00:00:00,107.2268
2002-07-19 00:00:00,161.5158
2002-07-22 00:00:00,259.5629
2002-07-23 00:00:00,280.26
2002-07-24 00:00:00,296.5534
2002-07-25 00:00:00,308.6461
2002-07-26 00:00:00,-44.7491
2002-07-29 00:00:00,-38.3576
2002-07-30 00:00:00,-28.0261
2002-07-31 00:00:00,-12.0896
2002-08-01 00:00:00,-1.7458
2002-08-02 00:00:00,13.2381
2002-08-05 00:00:00,21.8529
2002-08-06 00:00:00,28.9345
2002-08-07 00:00:00,40.4172
2002-08-08 00:00:00,49.3124
2002-08-09 00:00:00,58.0726
2002-08-12 00:00:00,67.3109
2002-08-13 00:00:00,75.1831
2002-08-14 00:00:00,82.3651
2002-08-15 00:00:00,94.2398
2002-08-16 00:00:00,100.7186
2002-08-19 00:00:00,117.9094
2002-08-20 00:00:00,130.3559
2002-08-21 00:00:00,138.0411
2002-08-22 00:00:00,143.8812
2002-08-23 00:00:00,149.3165
2002-08-26 00:00:00,155.064
2002-08-27 00:00:00,162.9231
2002-08-28 00:00:00,172.8369
2002-08-29 00:00:00,189.7264
2002-08-30 00:00:00,202.8493
2002-09-03 00:00:00,225.1498
2002-09-04 00:00:00,251.4234
2002-09-05 00:00:00,268.5619
2002-09-06 00:00:00,291.5286
2002-09-09 00:00:00,307.4921
2002-09-10 00:00:00,-31.7984
2002-09-11 00:00:00,-9.3919
2002-09-12 00:00:00,4.5755
2002-09-13 00:00:00,16.3015
2002-09-16 00:00:00,26.7825
2002-09-17 00:00:00,36.8361
2002-09-18 00:00:00,47.8946
