date,TEMA
2001-12-04 00:00:00,21.5979
2001-12-05 00:00:00,22.3032
2001-12-06 00:00:00,22.6128
2001-12-07 00:00:00,22.7885
2001-12-10 00:00:00,22.9165
2001-12-11 00:00:00,22.8083
2001-12-12 00:00:00,22.6298
2001-12-13 00:00:00,22.3433
2001-12-14 00:00:00,21.9395
2001-12-17 00:00:00,21.6601
2001-12-18 00:00:00,21.5264
2001-12-19 00:00:00,21.5705
2001-12-20 00:00:00,21.3561
2001-12-21 00:00:00,21.2631
2001-12-24 00:00:00,21.2782
2001-12-26 00:00:00,21.3226
2001-12-27 00:00:00,21.5077
2001-12-28 00:00:00,21.7505
2001-12-31 00:00:00,21.8089
2002-01-02 00:00:00,22.2162
2002-01-03 00:00:00,22.6178
2002-01-04 00:00:00,22.9687
2002-01-07 00:00:00,23.0432
2002-01-08 00:00:00,23.0205
2002-01-09 00:00:00,22.7448
2002-01-10 00:00:00,22.4035
2002-01-11 00:00:00,22.0727
2002-01-14 00:00:00,21.8254
2002-01-15 00:00:00,21.7649
2002-01-16 00:00:00,21.4769
2002-01-17 00:00:00,21.6833
2002-01-18 00:00:00,21.7733
2002-01-22 00:00:00,21.7569
2002-01-23 00:00:00,22.0551
2002-01-24 00:00:00,22.3484
2002-01-25 00:00:00,22.5971
2002-01-28 00:00:00,22.8029
2002-01-29 00:00:00,22.9155
2002-01-30 00:00:00,23.2676
2002-01-31 00:00:00,23.7138
2002-02-01 00:00:00,23.9914
2002-02-04 00:00:00,24.4537
2002-02-05 00:00:00,24.8479
2002-02-06 00:00:00,24.9564
2002-02-07 00:00:00,24.9368
2002-02-08 00:00:00,24.8387
2002-02-11 00:00:00,24.9939
2002-02-12 00:00:00,25.0405
2002-02-13 00:00:00,25.1461
2002-02-14 00:00:00,25.1162
2002-02-15 00:00:00,24.9005
2002-02-19 00:00:00,24.3835
2002-02-20 00:00:00,24.0868
2002-02-21 00:00:00,23.4178
2002-02-22 00:00:00,23.1914
2002-02-25 00:00:00,23.2856
2002-02-26 00:00:00,23.3288
2002-02-27 00:00:00,22.9227
2002-02-28 00:00:00,22.5257
2002-03-01 00:00:00,22.6597
2002-03-04 00:00:00,22.9927
2002-03-05 00:00:00,23.0722
2002-03-06 00:00:00,23.2802
2002-03-07 00:00:00,23.5327
2002-03-08 00:00:00,23.8127
2002-03-11 00:00:00,24.1448
2002-03-12 00:00:00,24.3262
2002-03-13 00:00:00,24.4115
2002-03-14 00:00:00,24.4618
2002-03-15 00:00:00,24.6337
2002-03-18 00:00:00,24.7156
2002-03-19 00:00:00,24.8063
2002-03-20 00:00:00,24.8937
2002-03-21 00:00:00,24.7915
2002-03-22 00:00:00,24.6563
2002-03-25 00:00:00,24.3499
2002-03-26 00:00:00,24.1252
2002-03-27 00:00:00,23.9431
2002-03-28 00:00:00,23.8462
2002-04-01 00:00:00,23.9729
2002-04-02 00:00:00,23.9764
2002-04-03 00:00:00,23.897
2002-04-04 00:00:00,24.1311
2002-04-05 00:00:00,24.2817
2002-04-08 00:00:00,24.3577
2002-04-09 00:00:00,24.2995
2002-04-10 00:00:00,24.396
2002-04-11 00:00:00,24.5258
2002-04-12 00:00:00,24.6824
2002-04-15 00:00:00,24.7927
2002-04-16 00:00:00,25.0721
2002-04-17 00:00:00,25.3931
2002-04-18 00:00:00,25.4693
2002-04-19 00:00:00,25.4143
2002-04-22 00:00:00,25.2471
2002-04-23 00:00:00,25.033
2002-04-24 00:00:00,24.73
2002-04-25 00:00:00,24.571
2002-04-26 00:00:00,24.1527
2002-04-29 00:00:00,24.0579
2002-04-30 00:00:00,24.0632
2002-05-01 00:00:00,23.9952
2002-05-02 00:00:00,23.867
2002-05-03 00:00:00,23.7186
2002-05-06 00:00:00,23.3778
2002-05-07 00:00:00,23.057
2002-05-08 00:00:00,23.2937
2002-05-09 00:00:00,23.4471
2002-05-10 00:00:00,23.3519
2002-05-13 00:00:00,23.4393
2002-05-14 00:00:00,23.9483
2002-05-15 00:00:00,24.2819
2002-05-16 00:00:00,24.5369
2002-05-17 00:00:00,24.6922
2002-05-20 00:00:00,24.7469
2002-05-21 00:00:00,24.4567
2002-05-22 00:00:00,24.4401
2002-05-23 00:00:00,24.6483
2002-05-24 00:00:00,24.55
2002-05-28 00:00:00,24.4235
2002-05-29 00:00:00,24.3188
2002-05-30 00:00:00,24.2897
2002-05-31 00:00:00,24.0323
2002-06-03 00:00:00,23.7211
2002-06-04 00:00:00,23.4348
2002-06-05 00:00:00,23.1886
2002-06-06 00:00:00,22.8466
2002-06-07 00:00:00,22.3757
2002-06-10 00:00:00,22.019
2002-06-11 00:00:00,21.4722
2002-06-12 00:00:00,20.9403
2002-06-13 00:00:00,20.3762
2002-06-14 00:00:00,20.0756
2002-06-17 00:00:00,19.9612
2002-06-18 00:00:00,19.7839
2002-06-19 00:00:00,18.8703
2002-06-20 00:00:00,18.1391
2002-06-21 00:00:00,17.4957
2002-06-24 00:00:00,17.1029
2002-06-25 00:00:00,16.7739
2002-06-26 00:00:00,16.3783
2002-06-27 00:00:00,16.2138
2002-06-28 00:00:00,16.2773
2002-07-01 00:00:00,16.1837
2002-07-02 00:00:00,16.1002
2002-07-03 00:00:00,16.2133
2002-07-05 00:00:00,16.6363
2002-07-08 00:00:00,16.8121
2002-07-09 00:00:00,16.8476
2002-07-10 00:00:00,16.8368
2002-07-11 00:00:00,17.0956
2002-07-12 00:00:00,17.1119
2002-07-15 00:00:00,17.3248
2002-07-16 00:00:00,17.4121
2002-07-17 00:00:00,16.9127
2002-07-18 00:00:00,16.3459
2002-07-19 00:00:00,15.8844
2002-07-22 00:00:00,15.5084
2002-07-23 00:00:00,15.0975
2002-07-24 00:00:00,14.9653
2002-07-25 00:00:00,14.6545
2002-07-26 00:00:00,14.4102
2002-07-29 00:00:00,14.4026
2002-07-30 00:00:00,14.5181
2002-07-31 00:00:00,14.5828
2002-08-01 00:00:00,14.5292
2002-08-02 00:00:00,14.4064
2002-08-05 00:00:00,14.1981
2002-08-06 00:00:00,14.2336
2002-08-07 00:00:00,14.3492
2002-08-08 00:00:00,14.5238
2002-08-09 00:00:00,14.5974
2002-08-12 00:00:00,14.6622
2002-08-13 00:00:00,14.6178
2002-08-14 00:00:00,14.7376
2002-08-15 00:00:00,14.9548
2002-08-16 00:00:00,15.1881
2002-08-19 00:00:00,15.4252
2002-08-20 00:00:00,15.6017
2002-08-21 00:00:00,15.7999
2002-08-22 00:00:00,15.9214
2002-08-23 00:00:00,15.9558
2002-08-26 00:00:00,15.929
2002-08-27 00:00:00,15.7275
2002-08-28 00:00:00,15.5212
2002-08-29 00:00:00,15.3509
2002-08-30 00:00:00,15.2241
2002-09-03 00:00:00,14.9391
2002-09-04 00:00:00,14.8185
2002-09-05 00:00:00,14.6443
2002-09-06 00:00:00,14.5563
2002-09-09 00:00:00,14.4849
2002-09-10 00:00:00,14.4195
2002-09-11 00:00:00,14.3592
2002-09-12 00:00:00,14.2744
2002-09-13 00:00:00,14.2166
2002-09-16 00:00:00,14.2586
2002-09-17 00:00:00,14.3744
2002-09-18 00:00:00,14.5291
2002-09-19 00:00:00,14.5436
2002-09-20 00:00:00,14.632
2002-09-23 00:00:00,14.7001
2002-09-24 00:00:00,14.7017
2002-09-25 00:00:00,14.7783
2002-09-26 00:00:00,14.7813
2002-09-27 00:00:00,14.7884
2002-09-30 00:00:00,14.7367
2002-10-01 00:00:00,14.6966
2002-10-02 00:00:00,14.5753
2002-10-03 00:00:00,14.51
2002-10-04 00:00:00,14.3872
