date,DCPERIOD
2001-10-26 00:00:00,31.6648
2001-10-29 00:00:00,31.8772
2001-10-30 00:00:00,31.6594
2001-10-31 00:00:00,31.1879
2001-11-01 00:00:00,30.6499
2001-11-02 00:00:00,30.0286
2001-11-05 00:00:00,29.4915
2001-11-06 00:00:00,30.0688
2001-11-07 00:00:00,31.4866
2001-11-08 00:00:00,31.9037
2001-11-09 00:00:00,31.4698
2001-11-12 00:00:00,30.5129
2001-11-13 00:00:00,29.4298
2001-11-14 00:00:00,28.2279
2001-11-15 00:00:00,26.8611
2001-11-16 00:00:00,25.4206
2001-11-19 00:00:00,24.143
2001-11-20 00:00:00,23.1393
2001-11-21 00:00:00,22.3104
2001-11-23 00:00:00,21.5739
2001-11-26 00:00:00,20.9204
2001-11-27 00:00:00,20.3238
2001-11-28 00:00:00,19.7731
2001-11-29 00:00:00,19.3116
2001-11-30 00:00:00,19.001
2001-12-03 00:00:00,18.8556
2001-12-04 00:00:00,18.8543
2001-12-05 00:00:00,18.9486
2001-12-06 00:00:00,19.1891
2001-12-07 00:00:00,19.7477
2001-12-10 00:00:00,20.811
2001-12-11 00:00:00,22.2814
2001-12-12 00:00:00,22.7163
2001-12-13 00:00:00,22.4936
2001-12-14 00:00:00,23.0719
2001-12-17 00:00:00,23.8604
2001-12-18 00:00:00,24.2132
2001-12-19 00:00:00,24.3131
2001-12-20 00:00:00,24.2473
2001-12-21 00:00:00,23.8329
2001-12-24 00:00:00,23.1084
2001-12-26 00:00:00,22.2151
2001-12-27 00:00:00,21.3139
2001-12-28 00:00:00,20.5774
2001-12-31 00:00:00,19.9947
2002-01-02 00:00:00,19.4486
2002-01-03 00:00:00,18.9327
2002-01-04 00:00:00,18.5184
2002-01-07 00:00:00,18.2217
2002-01-08 00:00:00,18.0798
2002-01-09 00:00:00,18.1073
2002-01-10 00:00:00,18.1699
2002-01-11 00:00:00,18.2097
2002-01-14 00:00:00,18.202
2002-01-15 00:00:00,18.1814
2002-01-16 00:00:00,18.2394
2002-01-17 00:00:00,18.3893
2002-01-18 00:00:00,18.4933
2002-01-22 00:00:00,18.3719
2002-01-23 00:00:00,18.0488
2002-01-24 00:00:00,17.6636
2002-01-25 00:00:00,17.2629
2002-01-28 00:00:00,16.877
2002-01-29 00:00:00,16.5663
2002-01-30 00:00:00,16.2889
2002-01-31 00:00:00,15.9919
2002-02-01 00:00:00,15.7744
2002-02-04 00:00:00,15.7037
2002-02-05 00:00:00,15.7765
2002-02-06 00:00:00,16.141
2002-02-07 00:00:00,16.8482
2002-02-08 00:00:00,17.8636
2002-02-11 00:00:00,19.2014
2002-02-12 00:00:00,20.4917
2002-02-13 00:00:00,21.2704
2002-02-14 00:00:00,21.9703
2002-02-15 00:00:00,23.2112
2002-02-19 00:00:00,24.8385
2002-02-20 00:00:00,25.6685
2002-02-21 00:00:00,25.6289
2002-02-22 00:00:00,25.2926
