date,ADX
2001-07-02 00:00:00,13.9302
2001-07-03 00:00:00,14.4686
2001-07-05 00:00:00,14.653
2001-07-06 00:00:00,14.0784
2001-07-09 00:00:00,13.5325
2001-07-10 00:00:00,13.1306
2001-07-11 00:00:00,12.7487
2001-07-12 00:00:00,12.8919
2001-07-13 00:00:00,13.105
2001-07-16 00:00:00,13.3431
2001-07-17 00:00:00,13.0806
2001-07-18 00:00:00,13.1072
2001-07-19 00:00:00,13.3563
2001-07-20 00:00:00,13.678
2001-07-23 00:00:00,13.7702
2001-07-24 00:00:00,14.1211
2001-07-25 00:00:00,14.6924
2001-07-26 00:00:00,15.272
2001-07-27 00:00:00,15.5854
2001-07-30 00:00:00,15.8249
2001-07-31 00:00:00,16.0196
2001-08-01 00:00:00,16.0047
2001-08-02 00:00:00,15.9402
2001-08-03 00:00:00,15.9889
2001-08-06 00:00:00,16.0352
2001-08-07 00:00:00,16.0883
2001-08-08 00:00:00,16.3391
2001-08-09 00:00:00,16.5774
2001-08-10 00:00:00,16.681
2001-08-13 00:00:00,16.772
2001-08-14 00:00:00,16.9062
2001-08-15 00:00:00,17.2779
2001-08-16 00:00:00,17.7456
2001-08-17 00:00:00,18.1899
2001-08-20 00:00:00,18.7058
2001-08-21 00:00:00,19.2538
2001-08-22 00:00:00,19.6658
2001-08-23 00:00:00,19.9664
2001-08-24 00:00:00,19.9723
2001-08-27 00:00:00,19.3643
2001-08-28 00:00:00,18.7866
2001-08-29 00:00:00,18.6375
2001-08-30 00:00:00,18.8364
2001-08-31 00:00:00,18.651
2001-09-04 00:00:00,18.0809
2001-09-05 00:00:00,17.5806
2001-09-06 00:00:00,17.4205
2001-09-07 00:00:00,17.545
2001-09-10 00:00:00,17.8259
2001-09-17 00:00:00,18.6834
2001-09-18 00:00:00,18.9499
2001-09-19 00:00:00,19.468
2001-09-20 00:00:00,20.0052
2001-09-21 00:00:00,20.8606
2001-09-24 00:00:00,21.1955
2001-09-25 00:00:00,21.7651
2001-09-26 00:00:00,22.4702
2001-09-27 00:00:00,23.1401
2001-09-28 00:00:00,23.6397
2001-10-01 00:00:00,24.1838
2001-10-02 00:00:00,24.8499
