date,MFI
2002-02-25 00:00:00,57.8667
2002-02-26 00:00:00,58.2989
2002-02-27 00:00:00,53.1691
2002-02-28 00:00:00,47.8283
2002-03-01 00:00:00,46.8914
2002-03-04 00:00:00,46.4859
2002-03-05 00:00:00,41.0959
2002-03-06 00:00:00,36.0507
2002-03-07 00:00:00,41.52
2002-03-08 00:00:00,45.9144
2002-03-11 00:00:00,50.3603
2002-03-12 00:00:00,45.4746
2002-03-13 00:00:00,42.249
2002-03-14 00:00:00,38.05
2002-03-15 00:00:00,41.884
2002-03-18 00:00:00,41.5684
2002-03-19 00:00:00,46.1441
2002-03-20 00:00:00,50.5148
2002-03-21 00:00:00,48.9948
2002-03-22 00:00:00,47.6495
2002-03-25 00:00:00,42.3716
2002-03-26 00:00:00,38.4465
2002-03-27 00:00:00,46.3377
2002-03-28 00:00:00,51.0221
2002-04-01 00:00:00,49.7718
2002-04-02 00:00:00,44.3331
2002-04-03 00:00:00,44.8479
2002-04-04 00:00:00,50.5231
2002-04-05 00:00:00,50.7732
2002-04-08 00:00:00,45.5048
2002-04-09 00:00:00,44.6808
2002-04-10 00:00:00,49.5045
2002-04-11 00:00:00,55.4947
2002-04-12 00:00:00,54.3312
2002-04-15 00:00:00,54.8647
2002-04-16 00:00:00,62.9644
2002-04-17 00:00:00,64.0639
2002-04-18 00:00:00,57.7998
2002-04-19 00:00:00,59.9899
2002-04-22 00:00:00,55.8225
2002-04-23 00:00:00,56.0202
2002-04-24 00:00:00,57.0906
2002-04-25 00:00:00,57.5976
2002-04-26 00:00:00,54.0118
2002-04-29 00:00:00,54.5276
2002-04-30 00:00:00,58.3979
2002-05-01 00:00:00,58.4022
2002-05-02 00:00:00,55.9426
2002-05-03 00:00:00,51.5709
2002-05-06 00:00:00,51.8151
2002-05-07 00:00:00,48.165
2002-05-08 00:00:00,49.9444
2002-05-09 00:00:00,48.243
2002-05-10 00:00:00,49.1044
2002-05-13 00:00:00,48.6561
2002-05-14 00:00:00,47.6957
2002-05-15 00:00:00,47.0044
2002-05-16 00:00:00,48.6477
2002-05-17 00:00:00,50.0216
2002-05-20 00:00:00,49.9982
2002-05-21 00:00:00,49.5812
2002-05-22 00:00:00,53.6257
2002-05-23 00:00:00,55.2003
2002-05-24 00:00:00,56.5217
2002-05-28 00:00:00,52.7174
2002-05-29 00:00:00,52.1641
2002-05-30 00:00:00,56.1099
2002-05-31 00:00:00,52.486
2002-06-03 00:00:00,52.508
2002-06-04 00:00:00,51.6669
2002-06-05 00:00:00,51.3603
2002-06-06 00:00:00,45.2244
2002-06-07 00:00:00,38.8499
2002-06-10 00:00:00,42.9983
2002-06-11 00:00:00,38.2375
2002-06-12 00:00:00,29.3721
2002-06-13 00:00:00,23.4935
2002-06-14 00:00:00,23.0577
2002-06-17 00:00:00,27.6596
2002-06-18 00:00:00,27.566
2002-06-19 00:00:00,23.7393
2002-06-20 00:00:00,19.4841
2002-06-21 00:00:00,13.9984
2002-06-24 00:00:00,18.2225
2002-06-25 00:00:00,18.0459
2002-06-26 00:00:00,14.5105
2002-06-27 00:00:00,14.2784
2002-06-28 00:00:00,17.4576
2002-07-01 00:00:00,17.6213
2002-07-02 00:00:00,17.9154
2002-07-03 00:00:00,20.4013
2002-07-05 00:00:00,22.6796
2002-07-08 00:00:00,24.1144
2002-07-09 00:00:00,20.3134
2002-07-10 00:00:00,20.8383
2002-07-11 00:00:00,26.3147
2002-07-12 00:00:00,26.1252
2002-07-15 00:00:00,30.6168
2002-07-16 00:00:00,31.3501
2002-07-17 00:00:00,28.8405
2002-07-18 00:00:00,33.5736
2002-07-19 00:00:00,33.8607
2002-07-22 00:00:00,39.2955
2002-07-23 00:00:00,33.7852
2002-07-24 00:00:00,38.4045
2002-07-25 00:00:00,39.1453
2002-07-26 00:00:00,36.0502
2002-07-29 00:00:00,35.7058
2002-07-30 00:00:00,39.6734
2002-07-31 00:00:00,43.7096
2002-08-01 00:00:00,40.8769
