date,ADOSC
2001-04-09 00:00:00,-1869237.7002
2001-04-10 00:00:00,-975400.8182
2001-04-11 00:00:00,-1271547.3893
2001-04-12 00:00:00,-668554.4519
2001-04-16 00:00:00,-760985.0357
2001-04-17 00:00:00,-753798.3147
2001-04-18 00:00:00,193338.918
2001-04-19 00:00:00,10911988.8145
2001-04-20 00:00:00,13731136.1041
2001-04-23 00:00:00,12097713.5313
2001-04-24 00:00:00,9984085.7648
2001-04-25 00:00:00,9683272.3877
2001-04-26 00:00:00,4200179.2846
2001-04-27 00:00:00,3848343.9066
2001-04-30 00:00:00,2092631.0787
2001-05-01 00:00:00,1482923.3552
2001-05-02 00:00:00,2702517.5888
2001-05-03 00:00:00,1760948.2601
2001-05-04 00:00:00,2643582.346
2001-05-07 00:00:00,1602931.8873
2001-05-08 00:00:00,720832.7099
2001-05-09 00:00:00,-250954.638
2001-05-10 00:00:00,-2161673.6739
2001-05-11 00:00:00,-3616014.3029
2001-05-14 00:00:00,-3598866.4271
2001-05-15 00:00:00,-4458131.0097
2001-05-16 00:00:00,-3460903.5089
2001-05-17 00:00:00,-3577004.0607
2001-05-18 00:00:00,-2777952.1691
2001-05-21 00:00:00,-1711213.7245
2001-05-22 00:00:00,-2822598.6174
2001-05-23 00:00:00,-3289784.3914
2001-05-24 00:00:00,-2091900.8462
2001-05-25 00:00:00,-1719946.1659
2001-05-29 00:00:00,-2053288.5616
2001-05-30 00:00:00,-3515054.33
2001-05-31 00:00:00,-3223106.781
2001-06-01 00:00:00,-1153142.5276
2001-06-04 00:00:00,-817593.4948
2001-06-05 00:00:00,930909.2454
2001-06-06 00:00:00,1984261.041
2001-06-07 00:00:00,3964160.9355
2001-06-08 00:00:00,4993619.2793
2001-06-11 00:00:00,3558807.3036
2001-06-12 00:00:00,2963835.3182
2001-06-13 00:00:00,971806.0884
2001-06-14 00:00:00,-1074345.7276
2001-06-15 00:00:00,-374586.8589
2001-06-18 00:00:00,-493595.2543
2001-06-19 00:00:00,-1849271.4224
2001-06-20 00:00:00,-255481.4318
2001-06-21 00:00:00,1317989.149
2001-06-22 00:00:00,1527320.1825
2001-06-25 00:00:00,3939324.181
2001-06-26 00:00:00,6036254.719
2001-06-27 00:00:00,6600428.4192
2001-06-28 00:00:00,6700577.4946
2001-06-29 00:00:00,3358173.5403
2001-07-02 00:00:00,2201179.3322
2001-07-03 00:00:00,1527756.3078
2001-07-05 00:00:00,657959.4732
2001-07-06 00:00:00,-618251.4567
2001-07-09 00:00:00,-38263.6469
2001-07-10 00:00:00,-1439106.1416
2001-07-11 00:00:00,757486.9739
2001-07-12 00:00:00,2998387.3886
2001-07-13 00:00:00,5519631.9449
2001-07-16 00:00:00,4598982.5625
2001-07-17 00:00:00,7085387.6809
2001-07-18 00:00:00,3023814.5465
2001-07-19 00:00:00,-2574936.4006
2001-07-20 00:00:00,-2814269.3242
2001-07-23 00:00:00,-3944586.2703
2001-07-24 00:00:00,-4830173.328
2001-07-25 00:00:00,-5379120.6974
2001-07-26 00:00:00,-3944555.754
2001-07-27 00:00:00,-2568766.6631
2001-07-30 00:00:00,-1788686.9374
2001-07-31 00:00:00,-1820562.1531
