date,ROCR
2002-07-30 00:00:00,0.9045
2002-07-31 00:00:00,0.9008
2002-08-01 00:00:00,0.8433
2002-08-02 00:00:00,0.7711
2002-08-05 00:00:00,0.7768
2002-08-06 00:00:00,0.8408
2002-08-07 00:00:00,0.8678
2002-08-08 00:00:00,0.8361
2002-08-09 00:00:00,0.8571
2002-08-12 00:00:00,0.8223
2002-08-13 00:00:00,0.8169
2002-08-14 00:00:00,0.9706
2002-08-15 00:00:00,1.0414
2002-08-16 00:00:00,1.0568
2002-08-19 00:00:00,1.071
2002-08-20 00:00:00,1.0995
2002-08-21 00:00:00,1.0605
2002-08-22 00:00:00,1.1121
2002-08-23 00:00:00,1.0969
2002-08-26 00:00:00,1.034
2002-08-27 00:00:00,0.9624
2002-08-28 00:00:00,0.9633
2002-08-29 00:00:00,0.9932
2002-08-30 00:00:00,1.0208
2002-09-03 00:00:00,1.0043
2002-09-04 00:00:00,0.9824
2002-09-05 00:00:00,0.9434
2002-09-06 00:00:00,0.9399
2002-09-09 00:00:00,0.958
2002-09-10 00:00:00,0.956
2002-09-11 00:00:00,0.9794
2002-09-12 00:00:00,0.9321
2002-09-13 00:00:00,0.9078
2002-09-16 00:00:00,0.9171
2002-09-17 00:00:00,0.9262
2002-09-18 00:00:00,0.9441
2002-09-19 00:00:00,0.9045
2002-09-20 00:00:00,0.9311
2002-09-23 00:00:00,0.9441
2002-09-24 00:00:00,0.9427
2002-09-25 00:00:00,1.0054
2002-09-26 00:00:00,1.0
2002-09-27 00:00:00,1.0014
2002-09-30 00:00:00,0.9831
2002-10-01 00:00:00,1.0327
2002-10-02 00:00:00,0.9786
2002-10-03 00:00:00,1.0085
2002-10-04 00:00:00,0.9757
2002-10-07 00:00:00,0.9582
2002-10-08 00:00:00,0.9553
2002-10-09 00:00:00,0.9517
2002-10-10 00:00:00,0.9986
2002-10-11 00:00:00,1.024
2002-10-14 00:00:00,1.0186
2002-10-15 00:00:00,1.0243
2002-10-16 00:00:00,0.9694
2002-10-17 00:00:00,0.9678
2002-10-18 00:00:00,0.9644
2002-10-21 00:00:00,0.9805
2002-10-22 00:00:00,1.0041
2002-10-23 00:00:00,0.9967
2002-10-24 00:00:00,0.9993
2002-10-25 00:00:00,1.0476
2002-10-28 00:00:00,1.0766
2002-10-29 00:00:00,1.0641
2002-10-30 00:00:00,1.1277
2002-10-31 00:00:00,1.1238
2002-11-01 00:00:00,1.1661
2002-11-04 00:00:00,1.2266
2002-11-05 00:00:00,1.2345
2002-11-06 00:00:00,1.2662
2002-11-07 00:00:00,1.1331
2002-11-08 00:00:00,1.0917
2002-11-11 00:00:00,1.0264
2002-11-12 00:00:00,1.0317
2002-11-13 00:00:00,1.0707
2002-11-14 00:00:00,1.1552
2002-11-15 00:00:00,1.1123
2002-11-18 00:00:00,1.0749
2002-11-19 00:00:00,1.0388
2002-11-20 00:00:00,1.0437
2002-11-21 00:00:00,1.113
2002-11-22 00:00:00,1.0383
2002-11-25 00:00:00,1.0231
2002-11-26 00:00:00,0.9981
2002-11-27 00:00:00,0.9837
2002-11-29 00:00:00,0.9645
2002-12-02 00:00:00,0.9279
2002-12-03 00:00:00,0.8976
2002-12-04 00:00:00,0.8858
2002-12-05 00:00:00,0.8496
2002-12-06 00:00:00,0.9344
2002-12-09 00:00:00,0.9312
2002-12-10 00:00:00,1.0079
2002-12-11 00:00:00,0.9904
2002-12-12 00:00:00,0.9743
2002-12-13 00:00:00,0.9074
2002-12-16 00:00:00,0.931
2002-12-17 00:00:00,0.9636
2002-12-18 00:00:00,0.9542
2002-12-19 00:00:00,0.9144
2002-12-20 00:00:00,0.8648
2002-12-23 00:00:00,0.9051
2002-12-24 00:00:00,0.8992
2002-12-26 00:00:00,0.9345
2002-12-27 00:00:00,0.8944
2002-12-30 00:00:00,0.9077
2002-12-31 00:00:00,0.944
2003-01-02 00:00:00,0.9763
2003-01-03 00:00:00,0.9953
2003-01-06 00:00:00,1.0185
2003-01-07 00:00:00,0.9933
2003-01-08 00:00:00,0.9864
2003-01-09 00:00:00,0.9607
2003-01-10 00:00:00,0.9503
2003-01-13 00:00:00,0.9631
2003-01-14 00:00:00,0.9878
2003-01-15 00:00:00,0.9717
2003-01-16 00:00:00,0.9695
2003-01-17 00:00:00,0.9677
2003-01-21 00:00:00,0.9873
2003-01-22 00:00:00,0.9816
2003-01-23 00:00:00,0.9779
2003-01-24 00:00:00,0.961
2003-01-27 00:00:00,0.9813
2003-01-28 00:00:00,1.037
2003-01-29 00:00:00,1.0362
2003-01-30 00:00:00,0.9993
2003-01-31 00:00:00,0.9703
2003-02-03 00:00:00,0.9839
2003-02-04 00:00:00,0.9799
2003-02-05 00:00:00,0.9731
2003-02-06 00:00:00,0.9918
2003-02-07 00:00:00,0.9639
2003-02-10 00:00:00,0.9749
2003-02-11 00:00:00,0.9809
2003-02-12 00:00:00,0.9849
2003-02-13 00:00:00,1.0076
2003-02-14 00:00:00,1.0034
2003-02-18 00:00:00,1.083
2003-02-19 00:00:00,1.0592
2003-02-20 00:00:00,1.0641
2003-02-21 00:00:00,1.0586
2003-02-24 00:00:00,1.0681
2003-02-25 00:00:00,1.063
2003-02-26 00:00:00,0.9945
2003-02-27 00:00:00,1.0192
2003-02-28 00:00:00,1.0482
2003-03-03 00:00:00,1.0202
2003-03-04 00:00:00,0.9932
2003-03-05 00:00:00,1.0014
2003-03-06 00:00:00,1.0076
2003-03-07 00:00:00,1.0069
2003-03-10 00:00:00,1.0155
2003-03-11 00:00:00,0.9916
2003-03-12 00:00:00,0.9909
2003-03-13 00:00:00,1.0229
2003-03-14 00:00:00,1.0165
2003-03-17 00:00:00,1.0232
2003-03-18 00:00:00,0.9823
2003-03-19 00:00:00,1.0067
2003-03-20 00:00:00,1.0095
2003-03-21 00:00:00,1.0
2003-03-24 00:00:00,0.9749
2003-03-25 00:00:00,0.9687
2003-03-26 00:00:00,0.9938
2003-03-27 00:00:00,0.9751
2003-03-28 00:00:00,0.9707
2003-03-31 00:00:00,0.9652
2003-04-01 00:00:00,0.9725
2003-04-02 00:00:00,0.9986
2003-04-03 00:00:00,0.9931
2003-04-04 00:00:00,0.9917
2003-04-07 00:00:00,1.0084
2003-04-08 00:00:00,1.0155
