date,TRIMA
2001-05-25 00:00:00,23.8709
2001-05-29 00:00:00,23.7255
2001-05-30 00:00:00,23.5691
2001-05-31 00:00:00,23.4
2001-06-01 00:00:00,23.2294
2001-06-04 00:00:00,23.0455
2001-06-05 00:00:00,22.8579
2001-06-06 00:00:00,22.6579
2001-06-07 00:00:00,22.4534
2001-06-08 00:00:00,22.2385
2001-06-11 00:00:00,21.9972
2001-06-12 00:00:00,21.7461
2001-06-13 00:00:00,21.5178
2001-06-14 00:00:00,21.3198
2001-06-15 00:00:00,21.1555
2001-06-18 00:00:00,21.0123
2001-06-19 00:00:00,20.8884
2001-06-20 00:00:00,20.7968
2001-06-21 00:00:00,20.738
2001-06-22 00:00:00,20.702
2001-06-25 00:00:00,20.719
2001-06-26 00:00:00,20.792
2001-06-27 00:00:00,20.9016
2001-06-28 00:00:00,21.0383
2001-06-29 00:00:00,21.2011
2001-07-02 00:00:00,21.4005
2001-07-03 00:00:00,21.636
2001-07-05 00:00:00,21.8922
2001-07-06 00:00:00,22.1356
2001-07-09 00:00:00,22.3755
2001-07-10 00:00:00,22.581
2001-07-11 00:00:00,22.7395
2001-07-12 00:00:00,22.8761
2001-07-13 00:00:00,22.9985
2001-07-16 00:00:00,23.094
2001-07-17 00:00:00,23.1749
2001-07-18 00:00:00,23.1956
2001-07-19 00:00:00,23.1538
2001-07-20 00:00:00,23.0795
2001-07-23 00:00:00,22.9807
2001-07-24 00:00:00,22.8593
2001-07-25 00:00:00,22.7267
2001-07-26 00:00:00,22.5527
2001-07-27 00:00:00,22.3159
2001-07-30 00:00:00,22.0215
2001-07-31 00:00:00,21.6632
2001-08-01 00:00:00,21.2783
2001-08-02 00:00:00,20.9198
2001-08-03 00:00:00,20.5864
2001-08-06 00:00:00,20.2678
2001-08-07 00:00:00,19.9795
2001-08-08 00:00:00,19.7136
2001-08-09 00:00:00,19.489
2001-08-10 00:00:00,19.3174
2001-08-13 00:00:00,19.2007
2001-08-14 00:00:00,19.1293
2001-08-15 00:00:00,19.1095
2001-08-16 00:00:00,19.0949
2001-08-17 00:00:00,19.0685
2001-08-20 00:00:00,19.0374
2001-08-21 00:00:00,18.9978
2001-08-22 00:00:00,18.9505
2001-08-23 00:00:00,18.8881
2001-08-24 00:00:00,18.8174
2001-08-27 00:00:00,18.7445
2001-08-28 00:00:00,18.6673
2001-08-29 00:00:00,18.585
2001-08-30 00:00:00,18.5009
2001-08-31 00:00:00,18.4318
2001-09-04 00:00:00,18.3769
2001-09-05 00:00:00,18.3369
2001-09-06 00:00:00,18.3045
2001-09-07 00:00:00,18.2736
2001-09-10 00:00:00,18.2431
2001-09-17 00:00:00,18.1991
2001-09-18 00:00:00,18.1374
2001-09-19 00:00:00,18.0713
2001-09-20 00:00:00,17.9912
2001-09-21 00:00:00,17.8929
2001-09-24 00:00:00,17.7739
2001-09-25 00:00:00,17.6264
2001-09-26 00:00:00,17.4497
