date,RSI
2001-11-05 00:00:00,56.7736
2001-11-06 00:00:00,59.0054
2001-11-07 00:00:00,59.0943
2001-11-08 00:00:00,53.6993
2001-11-09 00:00:00,53.6993
2001-11-12 00:00:00,53.9112
2001-11-13 00:00:00,57.1139
2001-11-14 00:00:00,58.2948
2001-11-15 00:00:00,57.1897
2001-11-16 00:00:00,53.9595
2001-11-19 00:00:00,59.1687
2001-11-20 00:00:00,56.1189
2001-11-21 00:00:00,56.8658
2001-11-23 00:00:00,57.6747
2001-11-26 00:00:00,64.3957
2001-11-27 00:00:00,61.8938
2001-11-28 00:00:00,58.8373
2001-11-29 00:00:00,58.13
2001-11-30 00:00:00,61.9786
2001-12-03 00:00:00,60.3206
2001-12-04 00:00:00,65.558
2001-12-05 00:00:00,69.7869
2001-12-06 00:00:00,63.8412
2001-12-07 00:00:00,62.4692
2001-12-10 00:00:00,62.4692
2001-12-11 00:00:00,58.0889
2001-12-12 00:00:00,56.4976
2001-12-13 00:00:00,53.8729
2001-12-14 00:00:00,50.7815
2001-12-17 00:00:00,51.8775
2001-12-18 00:00:00,53.7171
2001-12-19 00:00:00,56.4576
2001-12-20 00:00:00,51.4622
2001-12-21 00:00:00,52.9833
2001-12-24 00:00:00,54.6166
2001-12-26 00:00:00,55.208
2001-12-27 00:00:00,57.7913
2001-12-28 00:00:00,59.324
2001-12-31 00:00:00,56.1635
2002-01-02 00:00:00,61.8194
2002-01-03 00:00:00,62.8291
2002-01-04 00:00:00,63.2312
2002-01-07 00:00:00,58.4512
2002-01-08 00:00:00,56.7922
2002-01-09 00:00:00,51.681
2002-01-10 00:00:00,49.6243
2002-01-11 00:00:00,48.7491
2002-01-14 00:00:00,49.2723
2002-01-15 00:00:00,52.1031
2002-01-16 00:00:00,47.4416
2002-01-17 00:00:00,55.2322
2002-01-18 00:00:00,53.7042
2002-01-22 00:00:00,51.9946
2002-01-23 00:00:00,56.9413
2002-01-24 00:00:00,57.6684
2002-01-25 00:00:00,57.8262
2002-01-28 00:00:00,57.9087
2002-01-29 00:00:00,56.7392
2002-01-30 00:00:00,60.9707
2002-01-31 00:00:00,63.3043
2002-02-01 00:00:00,61.4027
2002-02-04 00:00:00,64.7797
2002-02-05 00:00:00,65.1214
2002-02-06 00:00:00,60.3164
2002-02-07 00:00:00,58.1732
2002-02-08 00:00:00,56.6276
2002-02-11 00:00:00,60.5132
2002-02-12 00:00:00,58.9337
2002-02-13 00:00:00,60.1503
2002-02-14 00:00:00,57.6916
2002-02-15 00:00:00,53.7435
2002-02-19 00:00:00,47.4882
2002-02-20 00:00:00,49.9323
2002-02-21 00:00:00,43.1721
2002-02-22 00:00:00,48.7305
2002-02-25 00:00:00,52.9137
2002-02-26 00:00:00,52.3257
2002-02-27 00:00:00,45.7841
2002-02-28 00:00:00,44.886
2002-03-01 00:00:00,51.6112
2002-03-04 00:00:00,54.4213
2002-03-05 00:00:00,51.5691
2002-03-06 00:00:00,53.3959
2002-03-07 00:00:00,54.4345
2002-03-08 00:00:00,55.3799
2002-03-11 00:00:00,56.73
2002-03-12 00:00:00,55.2347
2002-03-13 00:00:00,54.2171
2002-03-14 00:00:00,53.9442
2002-03-15 00:00:00,55.9662
2002-03-18 00:00:00,54.9408
2002-03-19 00:00:00,55.3915
2002-03-20 00:00:00,55.6883
2002-03-21 00:00:00,52.2872
2002-03-22 00:00:00,51.3726
2002-03-25 00:00:00,47.7576
2002-03-26 00:00:00,48.3266
2002-03-27 00:00:00,48.3804
2002-03-28 00:00:00,49.4875
2002-04-01 00:00:00,53.6232
2002-04-02 00:00:00,51.4348
2002-04-03 00:00:00,49.6836
2002-04-04 00:00:00,55.4248
2002-04-05 00:00:00,54.5139
2002-04-08 00:00:00,53.4731
2002-04-09 00:00:00,50.8609
2002-04-10 00:00:00,53.7558
2002-04-11 00:00:00,54.7578
2002-04-12 00:00:00,55.7667
2002-04-15 00:00:00,55.3767
2002-04-16 00:00:00,59.0905
2002-04-17 00:00:00,60.8073
2002-04-18 00:00:00,56.1175
2002-04-19 00:00:00,53.4518
2002-04-22 00:00:00,50.7938
2002-04-23 00:00:00,49.1917
2002-04-24 00:00:00,46.5426
2002-04-25 00:00:00,48.6645
2002-04-26 00:00:00,42.9705
2002-04-29 00:00:00,48.4087
2002-04-30 00:00:00,50.045
2002-05-01 00:00:00,48.5294
2002-05-02 00:00:00,47.0301
2002-05-03 00:00:00,46.0996
2002-05-06 00:00:00,41.9275
2002-05-07 00:00:00,41.1078
2002-05-08 00:00:00,51.6173
2002-05-09 00:00:00,50.7148
2002-05-10 00:00:00,46.5719
2002-05-13 00:00:00,49.6569
2002-05-14 00:00:00,56.7393
2002-05-15 00:00:00,55.1262
2002-05-16 00:00:00,54.7784
2002-05-17 00:00:00,53.7585
2002-05-20 00:00:00,52.3729
2002-05-21 00:00:00,46.4039
2002-05-22 00:00:00,50.4017
2002-05-23 00:00:00,54.0125
2002-05-24 00:00:00,49.472
2002-05-28 00:00:00,48.7598
2002-05-29 00:00:00,48.7598
2002-05-30 00:00:00,49.7961
2002-05-31 00:00:00,45.8069
2002-06-03 00:00:00,44.192
2002-06-04 00:00:00,43.652
2002-06-05 00:00:00,43.3944
2002-06-06 00:00:00,41.0165
2002-06-07 00:00:00,38.0386
2002-06-10 00:00:00,38.5331
2002-06-11 00:00:00,34.8054
2002-06-12 00:00:00,33.5655
2002-06-13 00:00:00,31.7933
2002-06-14 00:00:00,35.4462
2002-06-17 00:00:00,38.1843
2002-06-18 00:00:00,36.7307
2002-06-19 00:00:00,28.0103
2002-06-20 00:00:00,27.9872
2002-06-21 00:00:00,27.3699
2002-06-24 00:00:00,29.9955
2002-06-25 00:00:00,29.6463
2002-06-26 00:00:00,28.0845
2002-06-27 00:00:00,31.3741
2002-06-28 00:00:00,35.3996
2002-07-01 00:00:00,33.341
2002-07-02 00:00:00,32.974
2002-07-03 00:00:00,36.7022
2002-07-05 00:00:00,43.1911
2002-07-08 00:00:00,40.5095
2002-07-09 00:00:00,38.8405
2002-07-10 00:00:00,38.1172
2002-07-11 00:00:00,43.3034
2002-07-12 00:00:00,40.3944
2002-07-15 00:00:00,44.0074
2002-07-16 00:00:00,42.6288
2002-07-17 00:00:00,35.5613
2002-07-18 00:00:00,33.8652
2002-07-19 00:00:00,33.7856
2002-07-22 00:00:00,33.6747
2002-07-23 00:00:00,32.4139
2002-07-24 00:00:00,36.4752
2002-07-25 00:00:00,34.0005
2002-07-26 00:00:00,33.9428
2002-07-29 00:00:00,37.7261
2002-07-30 00:00:00,39.9103
2002-07-31 00:00:00,39.3086
2002-08-01 00:00:00,37.6899
2002-08-02 00:00:00,36.4866
2002-08-05 00:00:00,34.9432
2002-08-06 00:00:00,39.3466
2002-08-07 00:00:00,40.9727
2002-08-08 00:00:00,42.484
2002-08-09 00:00:00,41.2488
2002-08-12 00:00:00,41.2068
2002-08-13 00:00:00,39.5114
2002-08-14 00:00:00,43.0855
2002-08-15 00:00:00,45.65
2002-08-16 00:00:00,46.797
2002-08-19 00:00:00,47.783
2002-08-20 00:00:00,47.4022
2002-08-21 00:00:00,48.6933
2002-08-22 00:00:00,47.8109
2002-08-23 00:00:00,46.3949
2002-08-26 00:00:00,45.2201
2002-08-27 00:00:00,41.4625
2002-08-28 00:00:00,40.6777
2002-08-29 00:00:00,40.6777
2002-08-30 00:00:00,41.0896
2002-09-03 00:00:00,37.2756
2002-09-04 00:00:00,40.8271
2002-09-05 00:00:00,39.1972
2002-09-06 00:00:00,40.8542
2002-09-09 00:00:00,40.7957
2002-09-10 00:00:00,40.5512
2002-09-11 00:00:00,40.2969
2002-09-12 00:00:00,39.3236
2002-09-13 00:00:00,39.6306
2002-09-16 00:00:00,42.9713
2002-09-17 00:00:00,45.8394
2002-09-18 00:00:00,47.8634
2002-09-19 00:00:00,44.3724
2002-09-20 00:00:00,47.0517
2002-09-23 00:00:00,46.8878
2002-09-24 00:00:00,45.149
2002-09-25 00:00:00,47.9546
2002-09-26 00:00:00,45.9907
2002-09-27 00:00:00,46.1924
2002-09-30 00:00:00,44.2777
2002-10-01 00:00:00,44.388
2002-10-02 00:00:00,41.4517
2002-10-03 00:00:00,42.9701
2002-10-04 00:00:00,40.6645
2002-10-07 00:00:00,38.5669
2002-10-08 00:00:00,37.9331
2002-10-09 00:00:00,37.2091
2002-10-10 00:00:00,43.7403
2002-10-11 00:00:00,48.0096
2002-10-14 00:00:00,50.6383
2002-10-15 00:00:00,54.2876
2002-10-16 00:00:00,48.483
2002-10-17 00:00:00,44.7089
2002-10-18 00:00:00,46.9315
2002-10-21 00:00:00,48.9957
2002-10-22 00:00:00,50.291
2002-10-23 00:00:00,51.9427
2002-10-24 00:00:00,50.0933
2002-10-25 00:00:00,56.3751
2002-10-28 00:00:00,57.8293
2002-10-29 00:00:00,56.069
2002-10-30 00:00:00,60.1273
2002-10-31 00:00:00,60.7632
2002-11-01 00:00:00,62.7768
2002-11-04 00:00:00,66.1214
2002-11-05 00:00:00,66.1818
2002-11-06 00:00:00,68.0962
2002-11-07 00:00:00,55.49
2002-11-08 00:00:00,54.1072
2002-11-11 00:00:00,48.6803
2002-11-12 00:00:00,52.2397
