date,WMA
2002-06-18 00:00:00,21.4674
2002-06-19 00:00:00,20.9698
2002-06-20 00:00:00,20.5014
2002-06-21 00:00:00,20.0426
2002-06-24 00:00:00,19.6634
2002-06-25 00:00:00,19.3047
2002-06-26 00:00:00,18.9223
2002-06-27 00:00:00,18.6239
2002-06-28 00:00:00,18.4223
2002-07-01 00:00:00,18.1844
2002-07-02 00:00:00,17.963
2002-07-03 00:00:00,17.8275
2002-07-05 00:00:00,17.8299
2002-07-08 00:00:00,17.7791
2002-07-09 00:00:00,17.6987
2002-07-10 00:00:00,17.6171
2002-07-11 00:00:00,17.6439
2002-07-12 00:00:00,17.6029
2002-07-15 00:00:00,17.6412
2002-07-16 00:00:00,17.6531
2002-07-17 00:00:00,17.4655
2002-07-18 00:00:00,17.2384
2002-07-19 00:00:00,17.0186
2002-07-22 00:00:00,16.8052
2002-07-23 00:00:00,16.5581
2002-07-24 00:00:00,16.394
2002-07-25 00:00:00,16.159
2002-07-26 00:00:00,15.9326
2002-07-29 00:00:00,15.7839
2002-07-30 00:00:00,15.687
2002-07-31 00:00:00,15.5818
2002-08-01 00:00:00,15.4408
2002-08-02 00:00:00,15.2795
2002-08-05 00:00:00,15.0948
2002-08-06 00:00:00,15.0007
2002-08-07 00:00:00,14.9475
2002-08-08 00:00:00,14.931
2002-08-09 00:00:00,14.9001
2002-08-12 00:00:00,14.8802
2002-08-13 00:00:00,14.8376
2002-08-14 00:00:00,14.8659
2002-08-15 00:00:00,14.9382
2002-08-16 00:00:00,15.0266
2002-08-19 00:00:00,15.1272
2002-08-20 00:00:00,15.216
2002-08-21 00:00:00,15.318
2002-08-22 00:00:00,15.4014
2002-08-23 00:00:00,15.4542
2002-08-26 00:00:00,15.4813
2002-08-27 00:00:00,15.4413
2002-08-28 00:00:00,15.3897
2002-08-29 00:00:00,15.3408
2002-08-30 00:00:00,15.2971
2002-09-03 00:00:00,15.1854
2002-09-04 00:00:00,15.1143
2002-09-05 00:00:00,15.0159
2002-09-06 00:00:00,14.9405
2002-09-09 00:00:00,14.8686
2002-09-10 00:00:00,14.7959
2002-09-11 00:00:00,14.7225
2002-09-12 00:00:00,14.6363
2002-09-13 00:00:00,14.5578
2002-09-16 00:00:00,14.5176
2002-09-17 00:00:00,14.5122
2002-09-18 00:00:00,14.5334
2002-09-19 00:00:00,14.517
2002-09-20 00:00:00,14.5354
2002-09-23 00:00:00,14.5572
2002-09-24 00:00:00,14.5632
2002-09-25 00:00:00,14.6011
2002-09-26 00:00:00,14.6167
2002-09-27 00:00:00,14.6341
2002-09-30 00:00:00,14.6306
2002-10-01 00:00:00,14.6291
2002-10-02 00:00:00,14.5931
2002-10-03 00:00:00,14.571
2002-10-04 00:00:00,14.5226
2002-10-07 00:00:00,14.451
2002-10-08 00:00:00,14.3748
2002-10-09 00:00:00,14.293
2002-10-10 00:00:00,14.264
2002-10-11 00:00:00,14.2722
2002-10-14 00:00:00,14.3036
2002-10-15 00:00:00,14.3708
2002-10-16 00:00:00,14.3792
2002-10-17 00:00:00,14.3469
2002-10-18 00:00:00,14.3388
2002-10-21 00:00:00,14.3541
2002-10-22 00:00:00,14.3841
2002-10-23 00:00:00,14.431
2002-10-24 00:00:00,14.4601
2002-10-25 00:00:00,14.5587
2002-10-28 00:00:00,14.6721
2002-10-29 00:00:00,14.764
2002-10-30 00:00:00,14.9029
2002-10-31 00:00:00,15.0418
2002-11-01 00:00:00,15.1998
2002-11-04 00:00:00,15.3972
2002-11-05 00:00:00,15.5808
2002-11-06 00:00:00,15.7795
2002-11-07 00:00:00,15.8448
2002-11-08 00:00:00,15.8859
2002-11-11 00:00:00,15.8559
2002-11-12 00:00:00,15.8697
2002-11-13 00:00:00,15.8765
2002-11-14 00:00:00,15.946
2002-11-15 00:00:00,15.9718
2002-11-18 00:00:00,15.9613
2002-11-19 00:00:00,15.9095
2002-11-20 00:00:00,15.8797
2002-11-21 00:00:00,15.9249
2002-11-22 00:00:00,15.9298
2002-11-25 00:00:00,15.928
2002-11-26 00:00:00,15.8713
2002-11-27 00:00:00,15.8442
2002-11-29 00:00:00,15.7974
2002-12-02 00:00:00,15.7228
2002-12-03 00:00:00,15.652
2002-12-04 00:00:00,15.5712
2002-12-05 00:00:00,15.4673
2002-12-06 00:00:00,15.4062
2002-12-09 00:00:00,15.3311
2002-12-10 00:00:00,15.3116
2002-12-11 00:00:00,15.3116
2002-12-12 00:00:00,15.2837
2002-12-13 00:00:00,15.2196
2002-12-16 00:00:00,15.1684
2002-12-17 00:00:00,15.1443
2002-12-18 00:00:00,15.0744
2002-12-19 00:00:00,14.9726
2002-12-20 00:00:00,14.8714
2002-12-23 00:00:00,14.8141
2002-12-24 00:00:00,14.7516
2002-12-26 00:00:00,14.7006
2002-12-27 00:00:00,14.622
2002-12-30 00:00:00,14.5523
2002-12-31 00:00:00,14.5142
2003-01-02 00:00:00,14.5249
2003-01-03 00:00:00,14.5468
2003-01-06 00:00:00,14.569
2003-01-07 00:00:00,14.5852
2003-01-08 00:00:00,14.5733
2003-01-09 00:00:00,14.5747
2003-01-10 00:00:00,14.5828
2003-01-13 00:00:00,14.586
2003-01-14 00:00:00,14.59
2003-01-15 00:00:00,14.5776
2003-01-16 00:00:00,14.5854
2003-01-17 00:00:00,14.5458
2003-01-21 00:00:00,14.5009
2003-01-22 00:00:00,14.4434
2003-01-23 00:00:00,14.4149
2003-01-24 00:00:00,14.3526
2003-01-27 00:00:00,14.3244
2003-01-28 00:00:00,14.3403
2003-01-29 00:00:00,14.3538
2003-01-30 00:00:00,14.3401
2003-01-31 00:00:00,14.3302
2003-02-03 00:00:00,14.351
2003-02-04 00:00:00,14.3673
2003-02-05 00:00:00,14.3707
2003-02-06 00:00:00,14.374
2003-02-07 00:00:00,14.3513
2003-02-10 00:00:00,14.3502
2003-02-11 00:00:00,14.3508
2003-02-12 00:00:00,14.3566
2003-02-13 00:00:00,14.3777
2003-02-14 00:00:00,14.4106
2003-02-18 00:00:00,14.5005
2003-02-19 00:00:00,14.5448
2003-02-20 00:00:00,14.5775
2003-02-21 00:00:00,14.6279
2003-02-24 00:00:00,14.6495
2003-02-25 00:00:00,14.6934
2003-02-26 00:00:00,14.6835
2003-02-27 00:00:00,14.7082
2003-02-28 00:00:00,14.746
2003-03-03 00:00:00,14.7461
2003-03-04 00:00:00,14.7363
2003-03-05 00:00:00,14.7327
2003-03-06 00:00:00,14.7232
2003-03-07 00:00:00,14.7104
2003-03-10 00:00:00,14.6819
2003-03-11 00:00:00,14.639
2003-03-12 00:00:00,14.5957
2003-03-13 00:00:00,14.6007
2003-03-14 00:00:00,14.6098
2003-03-17 00:00:00,14.6396
2003-03-18 00:00:00,14.6669
2003-03-19 00:00:00,14.6907
2003-03-20 00:00:00,14.7102
2003-03-21 00:00:00,14.7377
2003-03-24 00:00:00,14.7051
2003-03-25 00:00:00,14.6914
2003-03-26 00:00:00,14.6667
2003-03-27 00:00:00,14.65
2003-03-28 00:00:00,14.6426
2003-03-31 00:00:00,14.5964
2003-04-01 00:00:00,14.5546
2003-04-02 00:00:00,14.5565
2003-04-03 00:00:00,14.5452
2003-04-04 00:00:00,14.5297
2003-04-07 00:00:00,14.5223
2003-04-08 00:00:00,14.5105
