date,DEMA
2002-08-09 00:00:00,14.2713
2002-08-12 00:00:00,14.3016
2002-08-13 00:00:00,14.2601
2002-08-14 00:00:00,14.3344
2002-08-15 00:00:00,14.4826
2002-08-16 00:00:00,14.6504
2002-08-19 00:00:00,14.8291
2002-08-20 00:00:00,14.9732
2002-08-21 00:00:00,15.1377
2002-08-22 00:00:00,15.2541
2002-08-23 00:00:00,15.3123
2002-08-26 00:00:00,15.3274
2002-08-27 00:00:00,15.2183
2002-08-28 00:00:00,15.0985
2002-08-29 00:00:00,14.9967
2002-08-30 00:00:00,14.9198
2002-09-03 00:00:00,14.7283
2002-09-04 00:00:00,14.6434
2002-09-05 00:00:00,14.5181
2002-09-06 00:00:00,14.4486
2002-09-09 00:00:00,14.3893
2002-09-10 00:00:00,14.3334
2002-09-11 00:00:00,14.2803
2002-09-12 00:00:00,14.2097
2002-09-13 00:00:00,14.1568
2002-09-16 00:00:00,14.1734
2002-09-17 00:00:00,14.2444
2002-09-18 00:00:00,14.3474
2002-09-19 00:00:00,14.3581
2002-09-20 00:00:00,14.4214
2002-09-23 00:00:00,14.4737
2002-09-24 00:00:00,14.4818
2002-09-25 00:00:00,14.5425
2002-09-26 00:00:00,14.554
2002-09-27 00:00:00,14.5683
2002-09-30 00:00:00,14.5415
2002-10-01 00:00:00,14.5211
2002-10-02 00:00:00,14.4425
2002-10-03 00:00:00,14.3993
2002-10-04 00:00:00,14.3141
2002-10-07 00:00:00,14.1945
2002-10-08 00:00:00,14.0783
2002-10-09 00:00:00,13.9634
2002-10-10 00:00:00,13.9603
2002-10-11 00:00:00,14.03
2002-10-14 00:00:00,14.1385
2002-10-15 00:00:00,14.3039
2002-10-16 00:00:00,14.3381
2002-10-17 00:00:00,14.2866
2002-10-18 00:00:00,14.2845
2002-10-21 00:00:00,14.3232
2002-10-22 00:00:00,14.3824
2002-10-23 00:00:00,14.4664
2002-10-24 00:00:00,14.5045
2002-10-25 00:00:00,14.6697
2002-10-28 00:00:00,14.8463
2002-10-29 00:00:00,14.9669
2002-10-30 00:00:00,15.1679
2002-10-31 00:00:00,15.3561
2002-11-01 00:00:00,15.5693
2002-11-04 00:00:00,15.8471
2002-11-05 00:00:00,16.0858
2002-11-06 00:00:00,16.3466
2002-11-07 00:00:00,16.3467
2002-11-08 00:00:00,16.3146
2002-11-11 00:00:00,16.1607
2002-11-12 00:00:00,16.1127
2002-11-13 00:00:00,16.0601
2002-11-14 00:00:00,16.1415
2002-11-15 00:00:00,16.1461
2002-11-18 00:00:00,16.0937
2002-11-19 00:00:00,15.9778
2002-11-20 00:00:00,15.9237
2002-11-21 00:00:00,16.0246
2002-11-22 00:00:00,16.0484
2002-11-25 00:00:00,16.0604
2002-11-26 00:00:00,15.9677
2002-11-27 00:00:00,15.9431
2002-11-29 00:00:00,15.8809
2002-12-02 00:00:00,15.7686
2002-12-03 00:00:00,15.6676
2002-12-04 00:00:00,15.5459
2002-12-05 00:00:00,15.3794
2002-12-06 00:00:00,15.2944
2002-12-09 00:00:00,15.1853
2002-12-10 00:00:00,15.1883
2002-12-11 00:00:00,15.2296
2002-12-12 00:00:00,15.2114
2002-12-13 00:00:00,15.1237
2002-12-16 00:00:00,15.0598
2002-12-17 00:00:00,15.0473
2002-12-18 00:00:00,14.9448
2002-12-19 00:00:00,14.7904
2002-12-20 00:00:00,14.6478
2002-12-23 00:00:00,14.59
2002-12-24 00:00:00,14.5181
2002-12-26 00:00:00,14.4651
2002-12-27 00:00:00,14.3595
2002-12-30 00:00:00,14.2721
2002-12-31 00:00:00,14.2459
2003-01-02 00:00:00,14.3104
2003-01-03 00:00:00,14.3859
