date,DX
2001-04-20 00:00:00,31.5756
2001-04-23 00:00:00,26.5934
2001-04-24 00:00:00,22.6026
2001-04-25 00:00:00,23.1749
2001-04-26 00:00:00,29.372
2001-04-27 00:00:00,30.2791
2001-04-30 00:00:00,34.167
2001-05-01 00:00:00,34.167
2001-05-02 00:00:00,35.1328
2001-05-03 00:00:00,25.1775
2001-05-04 00:00:00,18.3183
2001-05-07 00:00:00,18.3183
2001-05-08 00:00:00,10.5594
2001-05-09 00:00:00,8.2095
2001-05-10 00:00:00,2.3227
2001-05-11 00:00:00,0.7994
2001-05-14 00:00:00,2.3299
2001-05-15 00:00:00,15.4787
2001-05-16 00:00:00,13.7952
2001-05-17 00:00:00,13.7952
2001-05-18 00:00:00,12.5513
2001-05-21 00:00:00,14.5924
2001-05-22 00:00:00,16.2686
2001-05-23 00:00:00,10.6573
2001-05-24 00:00:00,8.2139
2001-05-25 00:00:00,6.9708
2001-05-29 00:00:00,8.5953
2001-05-30 00:00:00,19.5991
2001-05-31 00:00:00,19.5991
2001-06-01 00:00:00,11.2459
2001-06-04 00:00:00,11.0538
2001-06-05 00:00:00,11.9343
2001-06-06 00:00:00,12.1008
2001-06-07 00:00:00,4.1217
2001-06-08 00:00:00,4.1217
2001-06-11 00:00:00,11.0461
2001-06-12 00:00:00,12.7052
2001-06-13 00:00:00,1.7688
2001-06-14 00:00:00,4.4892
2001-06-15 00:00:00,8.3582
2001-06-18 00:00:00,7.2691
2001-06-19 00:00:00,1.3707
2001-06-20 00:00:00,3.2129
2001-06-21 00:00:00,13.7088
2001-06-22 00:00:00,13.7088
2001-06-25 00:00:00,21.872
2001-06-26 00:00:00,21.872
2001-06-27 00:00:00,15.6875
2001-06-28 00:00:00,15.6875
2001-06-29 00:00:00,25.4663
2001-07-02 00:00:00,24.6987
2001-07-03 00:00:00,24.6987
2001-07-05 00:00:00,18.1573
2001-07-06 00:00:00,3.1608
2001-07-09 00:00:00,3.1608
2001-07-10 00:00:00,5.4935
2001-07-11 00:00:00,5.4935
2001-07-12 00:00:00,15.6114
2001-07-13 00:00:00,17.1553
2001-07-16 00:00:00,17.8671
2001-07-17 00:00:00,8.0915
2001-07-18 00:00:00,13.6125
2001-07-19 00:00:00,18.0909
