date,1. open,2. high,3. low,4. close,5. volume
2020-01-29 09:54:00,166.5517,166.63,166.5517,166.63,89343.0
2020-01-29 09:53:00,166.727,166.727,166.5171,166.5171,84427.0
2020-01-29 09:52:00,166.62,166.72,166.62,166.72,131460.0
2020-01-29 09:51:00,166.33,166.57,166.33,166.56,147499.0
2020-01-29 09:50:00,166.6092,166.6092,166.36,166.36,131656.0
2020-01-29 09:49:00,166.72,166.83,166.65,166.7,115102.0
2020-01-29 09:48:00,167.0,167.0,166.88,166.88,64587.0
2020-01-29 09:47:00,166.96,166.96,166.9,166.9,113260.0
2020-01-29 09:46:00,167.08,167.08,166.9803,167.03,123206.0
2020-01-29 09:45:00,167.0608,167.0608,167.05,167.05,83832.0
2020-01-29 09:44:00,167.0,167.08,167.0,167.08,76669.0
2020-01-29 09:43:00,166.9493,166.96,166.9493,166.96,132796.0
2020-01-29 09:42:00,167.005,167.005,166.905,166.9401,159496.0
2020-01-29 09:41:00,167.1231,167.1231,167.0,167.0,180901.0
2020-01-29 09:40:00,167.33,167.33,166.995,166.995,213064.0
2020-01-29 09:39:00,167.38,167.409,167.37,167.38,100954.0
2020-01-29 09:38:00,167.5175,167.5175,167.39,167.39,111347.0
2020-01-29 09:37:00,167.59,167.59,167.57,167.57,125613.0
2020-01-29 09:36:00,167.54,167.58,167.54,167.58,147894.0
2020-01-29 09:35:00,167.2,167.45,167.2,167.45,158841.0
2020-01-29 09:34:00,167.27,167.27,167.2,167.2,193839.0
2020-01-29 09:33:00,167.22,167.33,167.12,167.305,182092.0
2020-01-29 09:32:00,167.42,167.4739,167.22,167.24,190975.0
2020-01-29 09:31:00,167.84,168.0,167.4,167.43,1741764.0
2020-01-28 16:00:00,165.52,165.72,165.39,165.46,500596.0
2020-01-28 15:59:00,165.625,165.625,165.52,165.525,155166.0
2020-01-28 15:58:00,165.64,165.6724,165.62,165.625,103839.0
2020-01-28 15:57:00,165.69,165.7,165.6149,165.645,117383.0
2020-01-28 15:56:00,165.61,165.74,165.585,165.7,129777.0
2020-01-28 15:55:00,165.69,165.72,165.59,165.61,158992.0
2020-01-28 15:54:00,165.625,165.68,165.6,165.68,95986.0
2020-01-28 15:53:00,165.59,165.7,165.55,165.63,108357.0
2020-01-28 15:52:00,165.59,165.6,165.55,165.585,101394.0
2020-01-28 15:51:00,165.64,165.64,165.46,165.5999,211356.0
2020-01-28 15:50:00,165.6442,165.7,165.635,165.645,58956.0
2020-01-28 15:49:00,165.6324,165.66,165.57,165.645,46699.0
2020-01-28 15:48:00,165.575,165.64,165.5599,165.635,42946.0
2020-01-28 15:47:00,165.54,165.5749,165.51,165.57,47918.0
2020-01-28 15:46:00,165.6,165.64,165.54,165.55,71344.0
2020-01-28 15:45:00,165.58,165.62,165.55,165.6,54583.0
2020-01-28 15:44:00,165.54,165.61,165.53,165.585,47140.0
2020-01-28 15:43:00,165.57,165.58,165.51,165.54,64936.0
2020-01-28 15:42:00,165.58,165.6295,165.57,165.585,52097.0
2020-01-28 15:41:00,165.5,165.58,165.47,165.5743,72043.0
2020-01-28 15:40:00,165.58,165.6,165.49,165.49,61054.0
2020-01-28 15:39:00,165.66,165.668,165.56,165.575,49815.0
2020-01-28 15:38:00,165.645,165.68,165.6327,165.65,33281.0
2020-01-28 15:37:00,165.64,165.68,165.6222,165.64,27368.0
2020-01-28 15:36:00,165.705,165.73,165.63,165.63,45577.0
2020-01-28 15:35:00,165.665,165.71,165.64,165.7,31468.0
2020-01-28 15:34:00,165.72,165.73,165.66,165.6685,55078.0
2020-01-28 15:33:00,165.685,165.75,165.685,165.72,53027.0
2020-01-28 15:32:00,165.68,165.7,165.63,165.685,39430.0
2020-01-28 15:31:00,165.74,165.755,165.67,165.685,47984.0
2020-01-28 15:30:00,165.67,165.745,165.6553,165.735,38366.0
2020-01-28 15:29:00,165.7299,165.7299,165.6431,165.66,48833.0
2020-01-28 15:28:00,165.69,165.74,165.65,165.73,21368.0
2020-01-28 15:27:00,165.7245,165.74,165.66,165.6905,47775.0
2020-01-28 15:26:00,165.67,165.73,165.66,165.725,47358.0
2020-01-28 15:25:00,165.69,165.705,165.65,165.68,44081.0
2020-01-28 15:24:00,165.6147,165.7,165.61,165.695,37602.0
2020-01-28 15:23:00,165.625,165.6375,165.59,165.61,30642.0
2020-01-28 15:22:00,165.64,165.64,165.59,165.63,30770.0
2020-01-28 15:21:00,165.6,165.65,165.59,165.64,35335.0
2020-01-28 15:20:00,165.525,165.61,165.52,165.6,18767.0
2020-01-28 15:19:00,165.4849,165.565,165.4849,165.5399,22019.0
2020-01-28 15:18:00,165.505,165.51,165.475,165.48,37620.0
2020-01-28 15:17:00,165.5363,165.58,165.5,165.505,47724.0
2020-01-28 15:16:00,165.525,165.535,165.5,165.53,31024.0
2020-01-28 15:15:00,165.53,165.565,165.515,165.525,39841.0
